problem,tf,K,N,\delta_v_B4,\tau_1,p_1
1,2,40,99,-0.26232999097448734,-3.8471296049225545,5.9754878499801866e-05
1,2,64,99,-0.1167883281574573,-1.7127276721008258,0.04338132589010284
1,2,128,100,-0.18899856334209988,-2.7861559819383093,0.00266685996280457
1,3,40,99,-0.046612252018938226,-0.6835793880372919,0.24712040199020516
1,3,64,100,-0.07371756068524159,-1.0867205498558168,0.13858016465157036
1,3,128,100,-0.14587793080230363,-2.1504854976169328,0.01575841595884515
1,4,40,99,-0.1861574124960312,-2.7300412359596056,0.003166320195405305
1,4,64,99,-0.16839351322171173,-2.469529570696966,0.006764541816902156
1,4,128,100,-0.07129536232873823,-1.05101328139263,0.14662624499136223
2,7,40,91,-0.31837520739121256,-4.469579283203183,3.91868022028324e-06
2,7,64,83,-0.2897903142098078,-3.878269991361547,5.260096304444684e-05
2,8,40,99,-0.2480934072663747,-3.63834683306722,0.00013719686948584478
2,8,64,99,-0.2279154626699391,-3.3424326383727063,0.00041523754761050544
3,12,40,98,-0.534123276784576,-7.791994509308515,3.297980032993598e-15
3,12,64,99,-0.49450837114620355,-7.252078908139824,2.0521132230538418e-13
3,15,40,99,-0.44128718194631533,-6.471577937513148,4.84923556089941e-11
3,15,64,100,-0.46450206467069227,-6.847539913636286,3.756536722647147e-12
3,20,40,100,-0.5460482952923592,-8.049668195637194,4.1509397949329855e-16
3,20,64,100,-0.24805705178058016,-3.6567772075042777,0.00012770309154070837
4,12,64,47,-0.055617799213256075,-0.5513537138931512,0.29069561185222903
4,12,128,34,-0.0761672396034899,-0.6334458158178264,0.2632212770134827
4,15,64,91,-0.6447536721173376,-9.051514027358808,7.049977425244216e-20
4,15,128,91,-0.6332242126739505,-8.889655214617234,3.0649410522973973e-19
4,25,64,96,-0.7007222172230597,-10.11384865493428,2.3981144157485976e-24
4,25,128,100,-0.5581168540558674,-8.22757900404614,9.551756515887307e-17
5,7,40,100,-0.16048799482976817,-2.365862358513709,0.008994065307662506
5,7,64,100,-0.11822086241684081,-1.742773898319979,0.04068655869947745
5,8,40,100,-0.13274352018971902,-1.9568622443478159,0.02518183328036431
5,8,64,100,-0.08790266491283351,-1.2958327901779103,0.09751654923923868
6,7,40,100,-0.19145478414090986,-2.822364798294118,0.002383545878689055
6,7,64,100,-0.10193720700353712,-1.5027254919441184,0.06645492313090876
6,8,40,100,-0.09394322018397036,-1.384880711523448,0.0830444729404831
6,8,64,100,0.0010447626904834442,0.015401555272817287,0.49385591132309414
7,125,1000,100,-0.2371675904673574,-3.496248274154639,0.00023592472784639395
7,150,1000,100,0.007900304836724794,0.1164637507859502,0.4536425066193849
8,10,32,33,-0.3738519761341616,-3.0585016719328832,0.001112234189485475
8,10,64,97,-0.38878871860078784,-5.641763242220102,8.415872439362417e-09
8,15,32,100,-0.33685017718499155,-4.965736879608792,3.4220348213204223e-07
8,15,64,100,-0.026673961325419604,-0.39321895148106917,0.34707888677122867
9,10,32,41,-0.39658181945473114,-3.652593614293639,0.0001298024536221808
9,10,64,99,-0.40767305471447546,-5.978619036638481,1.1251857120146764e-09
9,15,32,100,-0.21621580932370674,-3.1873838609369467,0.0007178305063673815
9,15,64,100,-0.009423252061822632,-0.1389145485399113,0.4447588371820617
