problem,tf,K,N,\delta_v_B4,\rho_1,p_1
1,2,40,99,-0.21884029041749517,-2.2088683425756748,0.01476899373515502
1,2,64,99,-0.32895444814792674,-3.430761927961442,0.00044285517904139095
1,2,128,100,-0.3683478013532861,-3.9222372898215245,8.141261660747101e-05
1,3,40,99,-0.27079005077007934,-2.7704822692669753,0.0033544842085187158
1,3,64,100,-0.28220542164324214,-2.9120545060274217,0.0022231211689462704
1,3,128,100,-0.17903612320811946,-1.8014745180650262,0.03735161581390464
1,4,40,99,-0.27841359398104465,-2.8549364288267367,0.0026321855168359473
1,4,64,99,-0.5499937876293918,-6.485887594568464,1.855890962615229e-09
1,4,128,100,-0.2575802903066084,-2.6389615260903336,0.004837534433642521
2,7,40,91,-0.4540227243029164,-4.807283261975318,3.089023983883868e-06
2,7,64,83,-0.3293578245811156,-3.1393816530663545,0.001181325484803834
2,8,40,99,-0.6604576030102522,-8.663031837956371,5.1341405960563295e-14
2,8,64,99,-0.4835102140792077,-5.440206449374768,1.993971362241412e-07
3,12,40,98,-0.5540980221733078,-6.521737482099717,1.6218779631411077e-09
3,12,64,99,-0.5108137467679256,-5.852020749871064,3.2939459535392194e-08
3,15,40,99,-0.4120523125301795,-4.453931018716948,1.1293213257689243e-05
3,15,64,100,-0.48261611026408097,-5.4549910787214255,1.8387636993440624e-07
3,20,40,100,-0.32983546077763076,-3.4587622167270062,0.0004023333115596115
3,20,64,100,-0.4851284513261459,-5.492098622333574,1.5663250475295863e-07
4,12,64,47,-0.0880789317083409,-0.5931567406497064,0.27802293230295294
4,12,128,34,-0.12384715569362441,-0.7060207466099835,0.24264200389657564
4,15,64,91,-0.6366178685347089,-7.7878647258836,5.904762237202912e-12
4,15,128,91,-0.7597864126585117,-11.024471053177177,1.2601868843052504e-18
4,25,64,96,-0.5996565105111477,-7.265018523033647,5.384738710875145e-11
4,25,128,100,-0.6547738341967729,-8.575968533529421,7.37502425919919e-14
5,7,40,100,-0.20792123638503102,-2.1043035784589144,0.01895552131741113
5,7,64,100,-0.15046321083915679,-1.5066622258656983,0.0675569993843454
5,8,40,100,-0.14915278497545012,-1.4932403848656373,0.06929345447925533
5,8,64,100,-0.12433318302529012,-1.2404610421652367,0.10888327235896456
6,7,40,100,-0.28470197881071013,-2.94007774856709,0.0020465922238112107
6,7,64,100,-0.13011881115375995,-1.2991554000744274,0.09846939792621762
6,8,40,100,-0.08411425313474097,-0.8356500693671416,0.20269228332849099
6,8,64,100,-0.013280040631066256,-0.13147728912956075,0.4478336465934594
7,125,1000,100,-0.7095339431833823,-9.967807806409729,7.107448694168257e-17
7,150,1000,100,-0.6712623621802009,-8.965165336854852,1.0640445504320662e-14
8,10,32,33,-0.6129621501373059,-4.319422613564651,7.462904777581457e-05
8,10,64,97,-0.7138631408888184,-9.935775932781084,1.1329322259947856e-16
8,15,32,100,-0.4847278941281042,-5.48617049200876,1.6070260964245992e-07
8,15,64,100,-0.02193313919387139,-0.21717924508332487,0.41426008342853854
9,10,32,41,-0.5409669569371491,-4.016838810352586,0.00013020083872076094
9,10,64,99,-0.6578195288476638,-8.60193970139786,6.944761876239149e-14
9,15,32,100,-0.345549826722169,-3.645318935601248,0.0002148217017150363
9,15,64,100,-0.06343476196813996,-0.6292394010137472,0.26532822545817636
