problem,tf,K,#,err_v_B4,Z,p
1,2,40,99,0.7654091939806226,11.224901731991217,0
1,2,64,99,0.7361368789940218,10.795616505505153,0
1,2,128,100,0.7369696969696969,10.864170041349748,0
1,3,40,99,0.5860647289218718,8.594773935914633,0
1,3,64,100,0.6371717171717172,9.392980348250303,0
1,3,128,100,0.64,9.434673983277413,0
1,4,40,99,0.6681096681096681,9.797981824234725,0
1,4,64,99,0.7369614512471655,10.80770904709631,0
1,4,128,100,0.6703030303030303,9.881391501425018,0
2,7,40,91,0.45103785103785105,6.331992530002839,1.210076483459943e-10
2,7,64,83,0.5110196885101381,6.8389874532139165,3.987699059848637e-12
2,8,40,99,0.3139558853844568,4.604235210832917,2.0699218409303555e-06
2,8,64,99,0.26489383632240776,3.8847289861590935,5.122204970031685e-05
3,12,40,98,0.6919840100988849,10.094927222942369,0
3,12,64,99,0.6747062461348176,9.89472215696398,0
3,15,40,99,0.53865182436611,7.899452794423121,1.4432899320127035e-15
3,15,64,100,0.5236363636363637,7.719278713590612,5.88418203051333e-15
3,20,40,100,0.5098989898989899,7.516766772030363,2.808864252301646e-14
3,20,64,100,0.258989898989899,3.817945721768196,6.728376067588471e-05
4,12,64,47,0.2488436632747456,2.4668519766349726,0.006815334589488686
4,12,128,34,0.22994652406417113,1.9123531887012015,0.027915453946345425
4,15,64,91,0.7802197802197802,10.95328431692424,0
4,15,128,91,0.6923076923076923,9.719111436144043,0
4,25,64,96,0.7425438596491228,10.717479810906797,0
4,25,128,100,0.5951515151515151,8.773532056418958,0
5,7,40,100,0.35878787878787877,5.289135414867641,6.144794184592683e-08
5,7,64,100,0.3527272727272727,5.19979191123812,9.975588066701846e-08
5,8,40,100,0.1797979797979798,2.650523941009122,0.004018351560957978
5,8,64,100,0.5050505050505051,7.445291969126747,4.8405723873656825e-14
6,7,40,100,0.3781818181818182,5.575034626482108,1.2374031799211593e-08
6,7,64,100,0.37737373737373736,5.563122159331505,1.324951259817908e-08
6,8,40,100,0.39474747474747474,5.819240203069465,2.955786504443836e-09
6,8,64,100,0.48444444444444446,7.141524056786376,4.615197113366776e-13
7,125,1000,100,0.4068686868686869,5.997927210328507,9.992603411390633e-10
7,150,1000,100,0.3490909090909091,5.146185809060408,1.3291805944781743e-07
8,10,32,33,0.3446969696969697,2.8199831094380703,0.002401308867121199
8,10,64,97,0.8230240549828178,11.943008216842815,0
8,15,32,100,0.8080808080808081,11.912467150602794,0
8,15,64,100,0.5014141414141414,7.391685866949034,7.249756350802272e-14
9,10,32,41,0.2780487804878049,2.5608818918332137,0.005220342193173799
9,10,64,99,0.8569367140795712,12.567173848609611,0
9,15,32,100,0.7878787878787878,11.614655471837724,0
9,15,64,100,0.3696969696969697,5.449953721400779,2.519146435897568e-08
