problem,tf,K,N,err_v_log_sens_norm,\tau,p
1,2,40,99,-0.8124098124098124,-11.91417660268715,4.992384180551889e-33
1,2,64,99,-0.7703566274994846,-11.297456981538158,6.753644807227407e-30
1,2,128,100,-0.7551515151515151,-11.132200552238311,4.372478678271301e-29
1,3,40,99,-0.5992578849721707,-8.78825460137314,7.595070638201118e-19
1,3,64,100,-0.6266666666666667,-9.238118275292468,1.254350539216893e-20
1,3,128,100,-0.5915151515151515,-8.719925954241246,1.3919189093832468e-18
1,4,40,99,-0.6388373531230674,-9.368696597748663,3.6716861145010704e-21
1,4,64,99,-0.5947227375798805,-8.721745622621778,1.3697260775344062e-18
1,4,128,100,-0.6193939393939394,-9.130906070937042,3.3964180145304586e-20
2,7,40,91,-0.04078144078144078,-0.5725190863619243,0.28348517954694863
2,7,64,83,-0.02027622685865413,-0.27135717899468675,0.39305816651722414
2,8,40,99,-0.2644815501958359,-3.878682715363515,5.251181427624177e-05
2,8,64,99,-0.23809523809523808,-3.4917213844465,0.00023995928452679642
3,12,40,98,0.2695139911634757,3.9317731141955536,4.216081420349571e-05
3,12,64,99,0.24345495774067202,3.570322904789019,0.00017827071940001993
3,15,40,99,-0.020820449391877962,-0.30533667517670693,0.380054872998501
3,15,64,100,0.10707070707070707,1.5784018974548701,0.057236654792590214
3,20,40,100,-0.04323232323232323,-0.6373169925572495,0.26195919233825926
3,20,64,100,-0.23393939393939395,-3.4486592400995093,0.0002816885869257194
4,12,64,47,-0.6059204440333025,-6.006647006304487,9.469962482793843e-10
4,12,128,34,-0.7290552584670231,-6.063197319215437,6.672089304061624e-10
4,15,64,91,-0.15164835164835164,-2.1289482193458378,0.01662927235684896
4,15,128,91,-0.2634920634920635,-3.6990903843384206,0.00010818677114827377
4,25,64,96,-0.24517543859649124,-3.538730782219078,0.0002010278328376329
4,25,128,100,0.027474747474747475,0.40502388312049503,0.34272997775801484
5,7,40,100,-0.46464646464646464,-6.849668611596607,3.701062881266264e-12
5,7,64,100,-0.4105050505050505,-6.051533312506219,7.173680370235304e-10
5,8,40,100,-0.43434343434343436,-6.402951093449002,7.620101132744565e-11
5,8,64,100,-0.36282828282828283,-5.348697750620655,4.429467239749444e-08
6,7,40,100,-0.3660606060606061,-5.396347619223066,3.400556021106357e-08
6,7,64,100,-0.4783838383838384,-7.052180553156855,8.806772062968691e-13
6,8,40,100,-0.39151515151515154,-5.771590334467055,3.926342093957506e-09
6,8,64,100,-0.3515151515151515,-5.181923210512216,1.0980481580539904e-07
7,125,1000,100,0.01818181818181818,0.2680305108885629,0.3943379166992347
7,150,1000,100,-0.2084848484848485,-3.073416524855521,0.001058114418943964
8,10,32,33,-0.2196969696969697,-1.7973518719495392,0.03613988806915741
8,10,64,97,-0.7607388316151202,-11.039179306904293,1.2364068621720313e-28
8,15,32,100,-0.4703030303030303,-6.9330558816508265,2.0592270919280095e-12
8,15,64,100,-0.17252525252525253,-2.543311736653697,0.0054903606510224015
9,10,32,41,-0.48048780487804876,-4.4253836200977466,4.813552378913095e-06
9,10,64,99,-0.6928468357039785,-10.160758071969425,1.4837999477939462e-24
9,15,32,100,-0.44242424242424244,-6.52207576495503,3.467048530352111e-11
9,15,64,100,-0.2513131313131313,-3.7047772838374695,0.00010578827483388746
