problem,tf,K,N,err_v_log_sens_norm,\rho,p
1,2,40,99,-0.35980685684832203,-3.7980543925884906,0.000127160879803049
1,2,64,99,-0.15009093400293466,-1.4951611585942612,0.06905936242638672
1,2,128,100,-0.2904367160737554,-3.0046966466687697,0.001687646396673138
1,3,40,99,-0.31519460424597295,-3.2710414344359635,0.0007421681073634781
1,3,64,100,-0.14041460819592994,-1.403942856022964,0.08174848271748114
1,3,128,100,-0.18482294148452516,-1.8617279287387776,0.03281910519558359
1,4,40,99,-0.6356695357730324,-8.11001653278917,7.828707762274751e-13
1,4,64,99,-0.3980382179947112,-4.273332235372863,2.2512189375077293e-05
1,4,128,100,-0.2936369175551717,-3.040909513475858,0.0015128829745126352
2,7,40,91,-0.05566093520561819,-0.5259195305950882,0.30012607692641013
2,7,64,83,-0.021797834180955968,-0.19622713139411718,0.4224619343182107
2,8,40,99,-0.08214237892455763,-0.8117518399339804,0.20946079477581236
2,8,64,99,-0.037892578302100306,-0.3734668324621458,0.3548080021014052
3,12,40,98,-0.0222048858713321,-0.21761621593514374,0.4140950087681293
3,12,64,99,-0.08585444315185778,-0.8487018720517739,0.19906840379004487
3,15,40,99,-0.026011463137034625,-0.2562699119489226,0.39914257334995196
3,15,64,100,0.13852372188002715,1.384664271085715,0.08464982389830178
3,20,40,100,0.04024992186216558,0.3987770492249777,0.3454625324444822
3,20,64,100,-0.2955103118380453,-3.0621602927176004,0.0014182891000185781
4,12,64,47,-0.7888757064154472,-8.611040882565385,2.262566080126304e-11
4,12,128,34,-0.8913817934091834,-11.12494397302906,7.844086417798765e-13
4,15,64,91,-0.44828925504858097,-4.731185295170301,4.172301354539412e-06
4,15,128,91,-0.4679150522984895,-4.994834134054758,1.4572458249892993e-06
4,25,64,96,-0.20419637285205186,-2.022368702832357,0.02298990610634134
4,25,128,100,-0.0916949006469575,-0.9115735285392211,0.18211507665777799
5,7,40,100,-0.3908268328296531,-4.203301066916739,2.9068358589578736e-05
5,7,64,100,-0.4995623502178202,-5.708808645215031,6.078485807581825e-08
5,8,40,100,-0.5262622972366638,-6.126772185801834,9.364490783241114e-09
5,8,64,100,-0.4309084642341689,-4.727168394129784,3.8139190599978817e-06
6,7,40,100,-0.4485796367625879,-4.968668298942485,1.430092266975164e-06
6,7,64,100,-0.5422047250648554,-6.388070024958384,2.8313987054234084e-09
6,8,40,100,-0.47141683643969695,-5.291680364879409,3.7009332509236645e-07
6,8,64,100,-0.39929473655971354,-4.3114296528639064,1.9335527688199838e-05
7,125,1000,100,-0.16309677984348397,-1.6364882002431418,0.05247252883913023
7,150,1000,100,-0.14521791362749187,-1.4529860956306473,0.07471110809838866
8,10,32,33,-0.46368686888311816,-2.9138845497023884,0.0032851654417166264
8,10,64,97,-0.41471164236318164,-4.442108108306992,1.2037714594297759e-05
8,15,32,100,-0.21886010691547536,-2.220436227644163,0.014346449102806622
8,15,64,100,-0.2908229294054066,-3.00906108516857,0.0016656360674080876
9,10,32,41,-0.574968959386607,-4.388644264708145,4.212906065448953e-05
9,10,64,99,-0.3187676302094258,-3.3122896202600893,0.0006505409743608146
9,15,32,100,-0.2764049312041922,-2.8471922227697277,0.002686725463485279
9,15,64,100,-0.3105426442965268,-3.234111594036916,0.0008318228667929313
