problem,tf,K,N,\delta_v_B4,\rho_1,p_1
1,2,40,99,0.017805775321509468,0.17539435540378595,0.43056769500189285
1,2,64,49,0.19178973673311356,1.3397146017664914,0.09339009117887886
1,2,128,100,0.009249387491750779,0.09156818160761178,0.4636140228349235
1,3,40,99,-0.1624678122276112,-1.6216681155216663,0.054060286562600424
1,3,64,100,-0.16958899144106304,-1.703521073324407,0.04581992219261427
1,3,128,99,-0.07056519664537583,-0.6967234009233579,0.24382111796071776
1,4,40,99,-0.057427095699745336,-0.5665262362922853,0.2861723069050576
1,4,64,49,-0.14657696271654422,-1.0158529834622445,0.15745023787684287
1,4,128,100,-0.03519028620008295,-0.34858196124091034,0.3640754636973714
2,7,40,81,0.039338259302692545,0.3499169495504119,0.36366609493525526
2,7,64,87,-0.2622405262863267,-2.5054215766020764,0.007068859130915352
2,8,40,99,-0.48084156556246244,-5.401117365399378,2.3581352626150006e-07
2,8,64,97,-0.3953145860706769,-4.194728223353851,3.0690925233838674e-05
3,12,40,97,-0.5086585459955857,-5.758388555680151,5.202954822968939e-08
3,12,64,97,-0.4010090020051032,-4.2666332537459315,2.3457341534629092e-05
3,15,40,99,-0.15831177208660663,-1.579103935084174,0.05878393088094702
3,15,64,100,-0.33343327895448366,-3.501180674033687,0.0003495034324699785
3,20,40,100,-0.2552215161155899,-2.61310327181023,0.005192822128742966
3,20,64,49,0.12693425421890014,0.8773138794659335,0.19238937672076872
4,12,64,38,-0.5191079912629338,-3.6441048201514223,0.00041974547936884997
4,12,128,22,-0.4792057110291755,-2.4416847403324677,0.012018578589493654
4,15,64,49,-0.574805446776368,-4.815734144091594,7.820167243921912e-06
4,15,128,45,-0.5578213596796177,-4.407290330512544,3.430359630292774e-05
4,25,64,50,-0.6655647293753665,-6.178372992450404,6.690702566201017e-08
4,25,128,50,-0.12251685758194472,-0.855264884211391,0.19832678286955507
5,7,40,100,-0.03615529207788646,-0.3581532973242037,0.3604994500854053
5,7,64,100,-0.009339902464771248,-0.09246435025371108,0.4632589359297943
5,8,40,100,0.03894831485406273,0.3858614271065777,0.3502178368021909
5,8,64,100,-0.15944626373514093,-1.598892740399314,0.05653184907291142
6,7,40,100,-0.22603318070886458,-2.297063236099951,0.011871467938701601
6,7,64,100,-0.004124464719152754,-0.040830464892753514,0.48375706044890565
6,8,40,100,-0.17301511692790902,-1.73898765302318,0.04258856319061165
6,8,64,100,0.10407603138845639,1.0359259031481762,0.15139307926557422
7,125,1000,49,-0.17183931789837956,-1.1958594294908516,0.11887498636515975
7,150,1000,98,0.019683484509834703,0.19289534490042728,0.4237242159022201
8,10,32,29,-0.5203020125741171,-3.1658366643686433,0.0019058542759177416
8,10,64,100,-0.6241210781804002,-7.907672970126327,1.9953049338389824e-12
8,15,32,100,-0.5084688821582314,-5.8456624096114815,3.315303950710903e-08
8,15,64,100,0.0748919051515025,0.7434799819903011,0.22948493937982684
9,10,32,50,-0.5096805905737071,-4.104276732800269,7.824093395675737e-05
9,10,64,99,-0.7425573949219224,-10.918981700979813,7.042861017328235e-19
9,15,32,99,-0.28621037331587895,-2.941914977240297,0.0020398898213013186
9,15,64,99,-0.11939536801046768,-1.184380122847959,0.11957830960548305
