problem,tf,K,#,err_v_B4,Z,p
1,2,40,99,0.640074211502783,9.386835410135397,0
1,2,64,49,0.7380952380952381,7.482017276394906,3.6637359812630166e-14
1,2,128,100,0.7523232323232323,11.0905069172112,0
1,3,40,99,0.7992166563595136,11.720695937228642,0
1,3,64,100,0.8092929292929293,11.9303358513287,0
1,3,128,99,0.7674706246134818,11.25513308596911,0
1,4,40,99,0.7505668934240363,11.007235983350396,0
1,4,64,49,0.7993197278911565,8.10264543757052,2.220446049250313e-16
1,4,128,100,0.757979797979798,11.173894187265422,0
2,7,40,81,0.7481481481481481,9.886057441494408,0
2,7,64,87,0.2649024325046779,3.6330764742363026,0.00014003098449444362
2,8,40,99,0.5114409400123686,7.50039892191495,3.186340080674199e-14
2,8,64,97,0.6237113402061856,9.050755705039544,0
3,12,40,97,0.5940721649484536,8.620657809965351,0
3,12,64,97,0.46005154639175255,6.675867327890738,1.228872559266847e-11
3,15,40,99,0.2620078334364049,3.842405090590045,6.0917266318183394e-05
3,15,64,100,0.19757575757575757,2.9125982183223833,0.0017921772931330793
3,20,40,100,0.20565656565656565,3.031722889828411,0.0012158116109708406
3,20,64,49,0.282312925170068,2.861785409865332,0.0021063101114527916
4,12,64,38,0.5874822190611664,5.192196671419116,1.0391364657635904e-07
4,12,128,22,0.5844155844155844,3.806720520838663,7.04108643105883e-05
4,15,64,49,0.4098639455782313,4.154760745647862,1.628140459486449e-05
4,15,128,45,0.7111111111111111,6.88675311166682,2.85405032940389e-12
4,25,64,50,0.2310204081632653,2.36725474838087,0.00896029644943197
4,25,128,50,0.0236734693877551,0.2425808752757782,0.40416504903571737
5,7,40,100,0.7793939393939394,11.489574566756396,0
5,7,64,100,0.7866666666666666,11.59678677111182,0
5,8,40,100,0.7535353535353535,11.108375617937106,0
5,8,64,100,0.7923232323232323,11.68017404116604,0
6,7,40,100,0.7943434343434344,11.709955209042548,0
6,7,64,100,0.7987878787878788,11.775473778370863,0
6,8,40,100,0.7656565656565657,11.287062625196148,0
6,8,64,100,0.7947474747474748,11.715911442617848,0
7,125,1000,49,0.4897959183673469,4.965025289404914,3.434605913010813e-07
7,150,1000,98,0.7778245318746055,11.347201563763436,0
8,10,32,29,0.3497536945812808,2.663644780868658,0.00386495701103462
8,10,64,100,0.9082828282828282,13.389613077277541,0
8,15,32,100,0.8161616161616162,12.031591822108822,0
8,15,64,100,0.7915151515151515,11.668261574015437,0
9,10,32,50,0.3355102040816327,3.4379565427015466,0.0002930608775083554
9,10,64,99,0.9245516388373531,13.558762259084462,0
9,15,32,99,0.8783755926613069,12.881579929979686,0
9,15,64,99,0.7336631622345908,10.759338880731685,0
