problem,tf,K,#,err_v_B4,Z,p
1,2,40,99,0.8449040603556186,15.556294520300028,0
1,2,64,49,0.9083687537861797,14.892176360389518,0
1,2,128,100,0.9331495089103801,25.696811986476877,0
1,3,40,99,0.951364511815788,30.414940646020924,0
1,3,64,100,0.9522199266235899,30.864733147902903,0
1,3,128,99,0.9324554168837377,25.419320616687706,0
1,4,40,99,0.9182672628680689,22.840330797258098,0
1,4,64,49,0.9537333988427293,21.74750662534698,0
1,4,128,100,0.9335585120055299,25.78435348550661,0
2,7,40,81,0.9391012343063365,24.28966194117943,0
2,7,64,87,0.5236250962133079,5.666519925671317,9.743087425739816e-08
2,8,40,99,0.9432109238423529,27.964194596154694,0
2,8,64,97,0.9570126495358634,32.15972492456315,0
3,12,40,97,0.8833483522977504,18.36889530756712,0
3,12,64,97,0.8349968591948096,14.790500703048194,0
3,15,40,99,0.7354790546135475,10.690953852404002,0
3,15,64,100,0.26141872259129195,2.6811489549210763,0.004304875900915994
3,20,40,100,0.6700226020227605,8.93509593204966,1.2323475573339238e-14
3,20,64,49,0.6074296188020227,5.242279177554293,1.8456803188016124e-06
4,12,64,38,0.694502273322801,5.791617246625876,6.5983176400497e-07
4,12,128,22,0.6422588441917684,3.7473118259593696,0.0006346470210497612
4,15,64,49,0.8677984185163051,11.97248926684384,3.3306690738754696e-16
4,15,128,45,0.8963752712787963,13.259594708865125,0
4,25,64,50,0.7480765201023308,7.810019160426617,2.1349333412246096e-10
4,25,128,50,0.1988204895537957,1.4055288421642862,0.08315198250941591
5,7,40,100,0.9287965799451081,24.81075639525047,0
5,7,64,100,0.9304222028522388,25.132264051891713,0
5,8,40,100,0.922023921856076,23.577358022509454,0
5,8,64,100,0.9241341135256649,23.944573281687425,0
6,7,40,100,0.9552386244492475,31.964897514878086,0
6,7,64,100,0.9383235686262309,26.865374931509862,0
6,8,40,100,0.9254702860234687,24.1847932782374,0
6,8,64,100,0.9424890354192126,27.914813486548287,0
7,125,1000,49,0.6425359490460222,5.7487408560698565,3.223916261729798e-07
7,150,1000,98,0.9138289722181558,22.047956357185733,0
8,10,32,29,0.42654480502748626,2.450496491608288,0.010514670848490448
8,10,64,100,0.9911354647368223,73.85291883172309,0
8,15,32,100,0.9675955631208805,37.93470834851583,0
8,15,64,100,0.9365974552401707,26.46019181986875,0
9,10,32,50,0.5723726700167235,4.836030567501774,7.029254759260972e-06
9,10,64,99,0.9937098932221609,87.39477927276037,0
9,15,32,99,0.9811628413185306,50.02178374640003,0
9,15,64,99,0.9283906767189902,24.605621619205987,0
