problem,tf,K,N,err_v_log_sens_norm,\rho,p
1,2,40,99,-0.8088108033372476,-13.545797060932342,2.141944584001668e-24
1,2,64,49,-0.25866977009427067,-1.8358316383657014,0.03635667129458224
1,2,128,100,-0.3671191884773636,-3.907112972444217,8.594317163402356e-05
1,3,40,99,-0.10469592325992165,-1.0368334063301408,0.15119566492826764
1,3,64,100,-0.105913907655674,-1.0544250132598787,0.14714053259033816
1,3,128,99,-0.4992389090658842,-5.674708818034869,7.203852199159771e-08
1,4,40,99,-0.14022506451955444,-1.394838203324306,0.08312528116227658
1,4,64,49,-0.44743319326765363,-3.4299316690376007,0.0006334042254863765
1,4,128,100,-0.49139482321672556,-5.585433828137559,1.0440708900081123e-07
2,7,40,81,-0.0747212865385637,-0.665999151038774,0.25367588457973056
2,7,64,87,-0.1309245310259083,-1.217544748418936,0.11338316305761853
2,8,40,99,-0.06728826950886355,-0.6642179976967411,0.2540633217777702
2,8,64,97,-0.06585839255459794,-0.6433048361608522,0.2607880809136139
3,12,40,97,-0.1398558031047077,-1.376675884922734,0.08592417101323124
3,12,64,97,-0.15799790093031565,-1.559562007096898,0.0610943427466642
3,15,40,99,-0.06148054688332909,-0.606660795050022,0.27274666824124805
3,15,64,100,-0.08841053374778601,-0.8786603582004578,0.19086736806135846
3,20,40,100,-0.05450555268781654,-0.5403807363915344,0.2950802479603959
3,20,64,49,-0.5453600932222205,-4.460501201625758,2.5369607578381968e-05
4,12,64,38,-0.9153479446381493,-13.639387481648171,4.3043213206664704e-16
4,12,128,22,-0.9516677990468245,-13.857316549100165,5.13893823471927e-12
4,15,64,49,-0.1691092355988305,-1.1762963351219284,0.12270006692808755
4,15,128,45,-0.32763761088386917,-2.2739792570948194,0.014008427391234111
4,25,64,50,-0.08834765649085469,-0.6144933721667579,0.2708956651704572
4,25,128,50,-0.09813810546442123,-0.6832187693666059,0.24887666403591996
5,7,40,100,-0.44726647923540086,-4.950479145369424,1.5411582809236164e-06
5,7,64,100,-0.4878229951983559,-5.532095069309091,1.316941507560488e-07
5,8,40,100,-0.5240137155825189,-6.090655493558188,1.1031048675133626e-08
5,8,64,100,-0.5100642040786005,-5.8704391667722104,2.968717583144008e-08
6,7,40,100,-0.4647303433576474,-5.1957580090212865,5.554052679384084e-07
6,7,64,100,-0.39172210794651213,-4.214672577275769,2.7856516645055217e-05
6,8,40,100,-0.4929953346246417,-5.6094546866825405,9.400968264336258e-08
6,8,64,100,-0.5280227130017769,-6.155171915398644,8.230616045605257e-09
7,125,1000,49,-0.484011634364879,-3.791980736867462,0.00021288575103957865
7,150,1000,98,-0.23255499437706129,-2.3427961542239646,0.010602127866299499
8,10,32,29,-0.3603596097325072,-2.007350385576235,0.027409011916801566
8,10,64,100,-0.18604454038770388,-1.87447282248263,0.03192182553984017
8,15,32,100,-0.18993748935210325,-1.9151482167216312,0.02919465571110195
8,15,64,100,-0.3228681363081053,-3.3770953387289677,0.0005258865601160078
9,10,32,50,-0.5420987948594512,-4.469480721379775,2.389359375719569e-05
9,10,64,99,-0.17956215090774855,-1.7977007851261155,0.037667866254729614
9,15,32,99,-0.2876363377311696,-2.9578907320690493,0.0019454759513301914
9,15,64,99,-0.5051721064745247,-5.765076340408505,4.840967603089942e-08
